summit1,summit2,distance_km
EA1/PO-004,ZL3/WC-676,20012.11
EA4/TO-010,ZL1/HB-014,20012.11
EA5/AB-069,ZL1/GI-092,20012.1
EA1/CR-005,ZL3/CB-805,20012.1
EA1/LE-267,ZL3/CB-348,20012.1
EA1/ZA-003,ZL3/MB-081,20012.1
EA7/JA-126,ZL1/WK-032,20012.09
CT/TM-044,ZL3/TM-061,20012.09
EA7/JA-022,ZL1/BP-078,20012.09
EA1/ZA-017,ZL3/MB-200,20012.08
EA1/LU-032,ZL3/CB-810,20012.08
EA1/OU-005,ZL3/CB-465,20012.07
EA7/JA-061,ZL1/GI-179,20012.06
EA1/LU-041,ZL3/CB-487,20012.06
EA5/AB-019,ZL1/BP-181,20012.06
EA1/LE-214,ZL3/CB-743,20012.05
EA5/MU-063,ZL1/BP-005,20012.05
CT/TM-008,ZL3/WC-416,20012.05
EA5/AB-034,ZL1/GI-049,20012.05
EA7/JA-017,ZL1/BP-082,20012.05
EA1/CR-031,ZL3/CB-183,20012.05
EA7/MA-115,ZL1/WK-224,20012.05
EA4/CR-042,ZL1/WK-024,20012.05
EA5/MU-094,ZL1/GI-010,20012.05
EA1/PO-027,ZL3/WC-615,20012.04
EA7/JA-103,ZL1/GI-036,20012.04
EA1/LU-081,ZL3/CB-822,20012.04
EA7/JA-136,ZL1/WK-089,20012.03
EA4/CR-066,ZL1/WK-005,20012.03
EA7/JA-034,ZL1/BP-056,20012.03
CT/BA-026,ZL3/TM-116,20012.02
EA1/OU-035,ZL3/WC-652,20012.02
EA1/ZA-016,ZL3/MB-200,20012.02
EA1/LU-041,ZL3/CB-355,20012.02
EA1/LE-138,ZL3/CB-425,20012.02
EA1/LU-019,ZL3/CB-410,20012.01
EA1/LU-022,ZL3/CB-692,20012.01
EA1/OU-045,ZL3/MB-153,20012.01
EA7/JA-050,ZL1/BP-157,20012.01
EA1/LE-191,ZL3/CB-838,20012.0
EA1/PO-010,ZL3/WC-705,20012.0
EA7/JA-068,ZL1/BP-198,20012.0
CT/MN-025,ZL3/WC-573,20012.0
CT/MN-013,ZL3/WC-620,20011.99
EA5/AB-024,ZL1/GI-114,20011.99
CT/TM-039,ZL3/TM-069,20011.99
CT/TM-050,ZL3/TM-165,20011.99
EA5/AB-087,ZL1/GI-147,20011.99
EA7/CO-011,ZL1/WK-169,20011.99
EA7/JA-014,ZL1/BP-066,20011.99
EA7/MA-071,ZL1/WK-048,20011.99
EA1/CR-023,ZL3/WC-272,20011.98
EA1/PO-007,ZL3/WC-340,20011.98
EA7/AL-013,ZL1/BP-245,20011.98
EA4/TO-044,ZL1/MW-061,20011.98
CT/TM-025,ZL3/WC-522,20011.98
EA5/AB-017,ZL1/BP-127,20011.97
